,Shape_Leng,Shape_Area,ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,area_sqkm
1,1.845582907,0.086843,Abbottabad,PK50101,Abbottabad,PK501,Khyber Pakhtunkhwa,PK5,Pakistan,PK,888.2263861
2,1.240245082,0.034307384,Havelian,PK50102,Abbottabad,PK501,Khyber Pakhtunkhwa,PK5,Pakistan,PK,351.5205529
3,0.926336008,0.020833222,Lora,PK50103,Abbottabad,PK501,Khyber Pakhtunkhwa,PK5,Pakistan,PK,213.6763791
4,0.765486701,0.018201022,Lower Tanawal,PK50104,Abbottabad,PK501,Khyber Pakhtunkhwa,PK5,Pakistan,PK,186.0938185
5,0.162897181,0.00163904,Bar Chamarkand,PK50201,Bajaur,PK502,Khyber Pakhtunkhwa,PK5,Pakistan,PK,16.65347033
6,0.862359713,0.026254552,Barang,PK50202,Bajaur,PK502,Khyber Pakhtunkhwa,PK5,Pakistan,PK,267.0965656
7,1.120872334,0.027197037,Khar,PK50203,Bajaur,PK502,Khyber Pakhtunkhwa,PK5,Pakistan,PK,276.3463949
8,0.757132773,0.026272124,Mamund,PK50204,Bajaur,PK502,Khyber Pakhtunkhwa,PK5,Pakistan,PK,266.6208088
9,0.527279565,0.012566709,Nawagai,PK50205,Bajaur,PK502,Khyber Pakhtunkhwa,PK5,Pakistan,PK,127.6759298
10,0.702021937,0.0237279,Salarzai,PK50206,Bajaur,PK502,Khyber Pakhtunkhwa,PK5,Pakistan,PK,240.6781993
11,0.715206435,0.016856368,Utman Khel,PK50207,Bajaur,PK502,Khyber Pakhtunkhwa,PK5,Pakistan,PK,171.2401487
12,1.2004997,0.025927609,Bannu,PK50301,Bannu,PK503,Khyber Pakhtunkhwa,PK5,Pakistan,PK,268.8770386
13,1.054532664,0.032454672,Baka Khel,PK50302,Bannu,PK503,Khyber Pakhtunkhwa,PK5,Pakistan,PK,336.8945854
14,0.953523965,0.039705722,Domel,PK50303,Bannu,PK503,Khyber Pakhtunkhwa,PK5,Pakistan,PK,411.6859599
15,0.509915983,0.006133124,Kakki,PK50304,Bannu,PK503,Khyber Pakhtunkhwa,PK5,Pakistan,PK,63.66476629
16,0.598627062,0.012536415,Miryan,PK50305,Bannu,PK503,Khyber Pakhtunkhwa,PK5,Pakistan,PK,130.0827269
17,2.145785847,0.07885428,Wazir,PK50306,Bannu,PK503,Khyber Pakhtunkhwa,PK5,Pakistan,PK,816.5452977
18,1.894500876,0.095690722,Allai,PK50401,Batagram,PK504,Khyber Pakhtunkhwa,PK5,Pakistan,PK,970.9460929
19,1.162963821,0.05058401,Batagram,PK50402,Batagram,PK504,Khyber Pakhtunkhwa,PK5,Pakistan,PK,514.2331468
20,1.233982044,0.064388877,Daggar,PK50501,Buner,PK505,Khyber Pakhtunkhwa,PK5,Pakistan,PK,655.5525048
21,1.240278936,0.046855893,Gagra,PK50502,Buner,PK505,Khyber Pakhtunkhwa,PK5,Pakistan,PK,477.2428608
22,0.866879015,0.031287419,Khado Khel,PK50503,Buner,PK505,Khyber Pakhtunkhwa,PK5,Pakistan,PK,319.6373054
23,1.040724937,0.031523934,Mandanr,PK50504,Buner,PK505,Khyber Pakhtunkhwa,PK5,Pakistan,PK,321.614855
24,0.977189937,0.04222665,Charsadda,PK50601,Charsadda,PK506,Khyber Pakhtunkhwa,PK5,Pakistan,PK,431.8418422
25,0.71669886,0.021201912,Shabqadar,PK50602,Charsadda,PK506,Khyber Pakhtunkhwa,PK5,Pakistan,PK,216.7053474
26,0.885972887,0.034348238,Tangi,PK50603,Charsadda,PK506,Khyber Pakhtunkhwa,PK5,Pakistan,PK,350.5885202
27,1.960612781,0.156165647,Chitral,PK50701,Chitral Lower,PK507,Khyber Pakhtunkhwa,PK5,Pakistan,PK,1566.506615
28,1.989342487,0.131623073,Drosh,PK50702,Chitral Lower,PK507,Khyber Pakhtunkhwa,PK5,Pakistan,PK,1324.828618
29,3.421166592,0.318820177,Lotkoh,PK50703,Chitral Lower,PK507,Khyber Pakhtunkhwa,PK5,Pakistan,PK,3185.957002
30,5.651461024,0.460968938,Mastuj,PK50801,Chitral Upper,PK508,Khyber Pakhtunkhwa,PK5,Pakistan,PK,4586.126944
31,3.350169262,0.405224342,Mulkhow,PK50802,Chitral Upper,PK508,Khyber Pakhtunkhwa,PK5,Pakistan,PK,4029.301037
32,2.093750653,0.165794509,D. I. Khan,PK50901,D. I. Khan,PK509,Khyber Pakhtunkhwa,PK5,Pakistan,PK,1738.826838
33,1.689221153,0.097626019,Daraban,PK50902,D. I. Khan,PK509,Khyber Pakhtunkhwa,PK5,Pakistan,PK,1026.784075
34,2.147325983,0.139881909,Kulachi,PK50903,D. I. Khan,PK509,Khyber Pakhtunkhwa,PK5,Pakistan,PK,1466.213142
35,2.287729443,0.157471975,Paharpur,PK50904,D. I. Khan,PK509,Khyber Pakhtunkhwa,PK5,Pakistan,PK,1645.729918
36,2.153977626,0.141627088,Paroa,PK50905,D. I. Khan,PK509,Khyber Pakhtunkhwa,PK5,Pakistan,PK,1492.185693
37,2.418238758,0.15760739,Darazinda,PK50906,D. I. Khan,PK509,Khyber Pakhtunkhwa,PK5,Pakistan,PK,1658.811207
38,1.619060022,0.060579974,Hangu,PK51001,Hangu,PK510,Khyber Pakhtunkhwa,PK5,Pakistan,PK,624.4601689
39,1.542519469,0.0724406,Tall,PK51002,Hangu,PK510,Khyber Pakhtunkhwa,PK5,Pakistan,PK,747.5560255
40,1.711322407,0.054107134,Ghazi,PK51101,Haripur,PK511,Khyber Pakhtunkhwa,PK5,Pakistan,PK,553.9375084
41,1.819845271,0.09506378,Haripur,PK51102,Haripur,PK511,Khyber Pakhtunkhwa,PK5,Pakistan,PK,973.7592298
42,1.501943617,0.041508356,Khanpur,PK51103,Haripur,PK511,Khyber Pakhtunkhwa,PK5,Pakistan,PK,426.2024648
43,1.912456234,0.107310778,Banda Daud Shah,PK51201,Karak,PK512,Khyber Pakhtunkhwa,PK5,Pakistan,PK,1108.941358
